company,site,permit,activity_reference,is_shellfishery,is_bathing_beach,spill_duration,spill_count,reporting_coverage_pct,comments
Southern Water,SOUTH AMBERSHAM WTW,62/1/171,Settled Storm,,,886.45,69.0,99.93,W00383
Southern Water,SOUTH HARTING WTW,361/10/2/91,Settled Storm,,,4145.84,178.0,78.51,Monitor issue now resolved W00600
Southern Water,SOUTH STOUR AVENUE SOUTH ASHFORD WPS,A824/K/98,Emergency,,,0.0,0.0,99.87,A00824
Southern Water,SOUTH STOUR AVENUE SOUTH ASHFORD WPS,RP29/63,Storm,,,72.79,10.0,99.87,K01509
Southern Water,SOUTH STREET CHAILEY WPS,A1407/S/05,Storm,,,69.59,13.0,99.86,A01407
Southern Water,SOUTH STREET CHAILEY WPS,A586/S/90,Emergency,,,10.68,3.0,99.86,W00346
Southern Water,SOUTH STREET DITCHLING CSO,A1256/S/05,Storm,,,76.53,15.0,38.88,"Comms issue, solution being deployed A01256"
Southern Water,SOUTH STREET EAST BARMING WPS,PP38/61/K3,Settled Storm,,,2.62,1.0,95.63,W00593
Southern Water,SOUTH STREET EAST BARMING WPS,PP38/61/K3,Emergency,,,0.0,0.0,95.63,W00593
Southern Water,SOUTH STREET NEWPORT CSO,A1138/IOW/01,Storm,,,0.0,0.0,99.92,A01138
Southern Water,SOUTH STREET QUEENBOROUGH WPS,A00261 ,Storm,,,23.99,25.0,100.0,A00261
Southern Water,SOUTH STREET QUEENBOROUGH WPS,A00261 ,Emergency,,,0.1,1.0,100.0,A00261
Southern Water,SOUTH TERRACE LITTLEHAMPTON WPS,A306/S/89,Storm,,,599.0,52.0,99.99,A00306
Southern Water,SOUTHBOROUGH CEMETERY TUNBRIDGE WELLS CSO,RP10/66,Storm,,,31.25,24.0,98.8,K02127
Southern Water,SOUTHERN ROAD PENNINGTON CSO,A980/H/99,Storm,,,0.0,0.0,96.87,A00980
Southern Water,SOUTHFIELD POLEGATE CSO,A1505/S/07,Storm,,,20.49,5.0,100.0,A01505
Southern Water,SOUTHWICK WTW,90,Settled Storm,,,104.73,9.0,98.33,W00248
Southern Water,SOVEREIGNS WAY MARDEN OLD WORKS WPS,COPA/8855,Emergency,,,69.81,9.0,100.0,A00011
Southern Water,SOVEREIGNS WAY MARDEN OLD WORKS WPS,COPA/8855,Storm,,,136.59,21.0,100.0,A00011
Southern Water,SPENCER ROAD RYDE CSO,A761/IOW/97,Storm,,,0.0,0.0,100.0,A00761
Southern Water,SPOT LANE BEARSTED WPS,A1504/K/06,Storm,,,0.0,0.0,99.72,A01504
Southern Water,SPOT LANE BEARSTED WPS,A1504/K/06 ,Emergency,,,0.0,0.0,99.72,A01504
Southern Water,SPOT LANE BEARSTED WPS,PP(A)38/306/K51/79,Emergency,,,0.0,0.0,99.72,W00575
Southern Water,SPRING GARDENS ALRESFORD WPS,COPA/11223,Emergency,,,0.0,0.0,99.9,A00176
Southern Water,SPRING GARDENS ALRESFORD WPS,A211/H/89,Storm,,,2.2,4.0,99.9,A00211
Southern Water,SPRING VALE WPS,A770/IOW/97,Storm,,,14.96,3.0,96.2,A00770
Southern Water,SPRING VALE WPS,A770/IOW/97,Emergency,,,0.0,0.0,96.2,A00770
Southern Water,SPRINGHILL COWES TRANSFER WPS,A848/IOW/98,Storm,,,475.9,48.0,99.13,A00848
Southern Water,SPRINGHILL COWES TRANSFER WPS,A848/IOW/98,Emergency,,,3.0,1.0,99.13,A00848
Southern Water,ST ANDREWS ROAD PORTSMOUTH CSO,A1277/H/05,Storm,,,54.46,22.0,99.89,A01277
Southern Water,ST HELENS DOWN HASTINGS CSO,A1184/S/02,Storm,,,5.94,3.0,88.39,Monitor issue now resolved A01184
Southern Water,ST HELENS WTW,WACT/270,Storm,,,19.56,17.0,100.0,A00198
Southern Water,ST HELENS WTW,WACT/270,Settled Storm,,,1561.64,114.0,100.0,A00198
Southern Water,ST JAMES COTTAGE BALCOMBE CSO,A1441/S/06,Storm,,,35.87,10.0,64.92,Comms issue now resolved A01441
Southern Water,ST JOHNS CROWBOROUGH WTW,COPA/3345,Settled Storm,,,530.5,60.0,96.86,W00037
Southern Water,ST LUKES ROAD TUNBRIDGE WELLS CSO,A.1432/K/06,Storm,,,1.44,3.0,49.61,"Monitor issue, solution being deployed A01432"
Southern Water,ST MARGARETS TERRACE RYE WPS,NPSWQD010087,Storm,,,41.7,16.0,97.87,NPSWQD010087
Southern Water,ST MARGARETS TERRACE RYE WPS,NPSWQD010087,Emergency,,,0.0,0.0,97.87,NPSWQD010087
Southern Water,ST MARYS LANE TICEHURST CSO,A896/K/99,Storm,,,37.83,15.0,100.0,A00896
Southern Water,ST MARYS ROAD COWES WPS,A1356/IOW/05,Storm,,,109.42,47.0,99.96,A01356
Southern Water,ST MARYS ROAD GILLINGHAM CSO,EPR/DB3797RH,Storm,,,0.49,1.0,100.0,EPR/DB3797RH
Southern Water,ST MATTHEWS SQUARE GOSPORT WPS,A1365/H/05,Storm,,,0.0,0.0,99.99,A01365
Southern Water,ST MATTHEWS SQUARE GOSPORT WPS,A1365/H/05,Emergency,,,0.0,0.0,99.99,A01365
Southern Water,ST MATTHEWS SQUARE GOSPORT WPS,A1454/H/07,Storm,,,0.0,0.0,100.0,A01454
Southern Water,ST MATTHEWS SQUARE GOSPORT WPS,A1454/H/07,Emergency,,,0.0,0.0,100.0,A01454
Southern Water,ST MILDREDS BAY CSO,A780/K/97,Storm,,,0.0,0.0,97.81,A00780
Southern Water,ST PAULS STREET SITTINGBOURNE CSO,A444/K/89 ,Storm,,,47.32,35.0,99.73,A00444
Southern Water,STAMSHAW ROAD PORTSMOUTH CSO,PP(A)38/360/H46/79,Storm,,,0.0,0.0,0.0,"Signal or connection issue identified, resolution to follow W00279"
Southern Water,STANE STREET BILLINGSHURST WPS,A573/S/90,Storm,,,69.09,11.0,99.79,A02501
Southern Water,STANE STREET BILLINGSHURST WPS,A573/S/90,Emergency,,,0.0,0.0,99.79,A02501
Southern Water,STAPLECROSS WTW,A1199/K/03,Settled Storm,,,306.49,32.0,100.0,A01199
Southern Water,STAPLEFIELD WTW,80/12 ,Settled Storm,,,0.0,0.0,99.92,W00338
Southern Water,STAPLEHURST WTW,PP(A)38/539/K124/84,Emergency,,,0.0,0.0,98.36,W00533
Southern Water,STAPLEHURST WTW,PP(A)38/539/K124/84,Settled Storm,,,74.53,11.0,98.52,W00533
Southern Water,STATION ROAD FOREST ROW CSO,A1033/K/99,Storm,,,0.0,0.0,0.0,"Access issue, solution being deployed A01033"
Southern Water,STATION ROAD HAILSHAM CSO,PC115/61/S121,Storm,,,0.0,0.0,55.1,Monitor issue now resolved D01053
Southern Water,STATION ROAD LISS CSO,A1270/S/05,Storm,,,4.22,2.0,100.0,A01270
Southern Water,STATION ROAD RAINHAM CSO,EPR/DB3797EY,Storm,,,203.13,32.0,99.98,A00806D
Southern Water,STATION ROAD ROBERTSBRIDGE NO 1 CSO,RP5/71,Storm,,,631.75,85.0,100.0,K02081
Southern Water,STATION ROAD RUSTINGTON CSO,NPSWQD005091,Storm,,,0.0,0.0,0.0,"Access issue, solution being deployed NPSWQD005091"
Southern Water,STATION ROAD WHITSTABLE WPS,A773/K/97,Storm,,,52.32,14.0,98.75,A00773
Southern Water,STATION ROAD WHITSTABLE WPS,A773/K/97,Emergency,,,20.37,2.0,98.75,A00773
Southern Water,STATION STREET LYMINGTON NO 1 CSO,A361/H/89,Storm,,,159.73,20.0,93.44,A00361
Southern Water,STEEPHILL COVE WPS,A703/IOW/96,Emergency,,,0.61,1.0,98.75,A00703
Southern Water,STEYNING WTW,62/1/1299,Settled Storm,,,602.3,48.0,99.41,W00390
Southern Water,STOCKBRIDGE WTW,51/107,Settled Storm,,,2200.99,124.0,99.91,W00241
Southern Water,STOCKERS HILL BOUGHTON STREET WPS,A595/K/91,Storm,,,77.0,24.0,99.5,W0558A
Southern Water,STOCKERS HILL BOUGHTON STREET WPS,A595/K/91,Emergency,,,0.0,0.0,99.5,W0558A
Southern Water,STONE GREEN STONE IN OXNEY WTW,PP(A)38/100/S25/77,Storm,,,24.7,8.0,99.46,W00579
Southern Water,STONE HILL ROAD EGERTON WTW,COPA/422,Settled Storm,,,9.39,1.0,94.7,W00003
Southern Water,STONEBRIDGE ROAD BROOK K WPS,A1473/K/06,Storm,,,0.0,0.0,99.95,A01473
Southern Water,STONEBRIDGE ROAD BROOK K WPS,A1473/K/06,Emergency,,,0.0,0.0,99.95,A01473
Southern Water,STORRINGTON WTW,A1171/S/02,Emergency,,,23.44,2.0,99.98,A01171
Southern Water,STORRINGTON WTW,A1171/S/02,Settled Storm,,,224.58,25.0,99.9,A01171
Southern Water,STRAWLANDS PLUMPTON GREEN WPS,A1142/S/01,Storm,,,103.93,16.0,99.67,A01142
Southern Water,STRAWLANDS PLUMPTON GREEN WPS,62/1/805,Emergency,,,0.0,0.0,99.67,S01915
Southern Water,STREET END LANE BROAD OAK WPS,A00272 ,Storm,,,85.69,12.0,99.93,A00272
Southern Water,STREET END LANE BROAD OAK WPS,A00272 ,Emergency,,,3.0,1.0,99.93,A00272
Southern Water,STUBBS LANE BREDE WTW,A591/K/91,Settled Storm,,,0.0,0.0,99.02,A00591
Southern Water,STURLA ROAD CHATHAM CSO,A935/K/99,Storm,,,1.25,4.0,99.72,A00935
Southern Water,SUMMER LANE PAGHAM WTW,A1192/S/03,Settled Storm,,,924.66,67.0,99.89,A01192
Southern Water,SUNNYFIELD ROAD BARTON ON SEA CSO,A1293/H/05,Storm,,,0.0,0.0,66.13,Comms issue now resolved A01293
Southern Water,SUTTON VALENCE WTW,PP(A)38/524/K123/83,Settled Storm,,,10.61,3.0,95.55,W00481
Southern Water,SWALECLIFFE WTW,A1102/K/99,Storm,,,634.14,89.0,100.0,A01102
Southern Water,SWALECLIFFE WTW,A111/K/87,Settled Storm,,,45.18,5.0,98.99,A00111
Southern Water,TANGMERE WTW,A1125/S/01 ,Settled Storm,,,1.62,1.0,99.91,A01125
Southern Water,TANGMERE WTW,A1125/S/01,Settled Storm,,,57.98,4.0,99.91,A01125
Southern Water,TANKERTON CIRCUS CSO,A774/K/97,Storm,,,14.3,15.0,96.38,A00774
Southern Water,TATES COPSE HYTHE H WPS,PP(A)38/490/H104/82,Storm,,,0.0,0.0,95.78,W00230
Southern Water,TATES COPSE HYTHE H WPS,PP(A)38/490/H104/82,Emergency,,,0.63,1.0,95.78,W00230
Southern Water,TATT YALDING WPS,PP38/56/K11,Storm,,,222.7,22.0,97.6,W00594
Southern Water,TATT YALDING WPS,PP38/56/K11,Emergency,,,0.0,0.0,97.6,W00594
Southern Water,TAYLOR STREET SOUTHBOROUGH CSO,A446/K/89,Storm,,,115.87,56.0,93.02,A00446
Southern Water,TAYLORS LANE BOSHAM WPS,338/10/1/16,Emergency,,,0.0,0.0,99.79,S01072
Southern Water,TAYLORS LANE BOSHAM WPS,A1219/S/04,Settled Storm,,,84.36,8.0,99.79,A01219
Southern Water,TEMPLARS WAY CHANDLERS FORD WPS,A1283/H/05,Storm,,,94.79,10.0,100.0,A01283
Southern Water,TEMPLARS WAY CHANDLERS FORD WPS,A1283/H/05,Emergency,,,0.0,0.0,100.0,A01283
Southern Water,TENTERDEN WTW,WACT/275,Storm,,,0.0,0.0,0.0,"Monitor issue, solution being deployed A00199"
Southern Water,TENTERDEN WTW,WACT/275,Settled Storm,,,395.85,46.0,98.56,A00199
Southern Water,TERMINUS ROAD COWES CSO,COPA/9090,Storm,,,485.39,88.0,99.83,A02509
Southern Water,TEYNHAM WTW,PP(A)38/455/K99/80,Settled Storm,,,0.0,0.0,96.32,W00577
Southern Water,THANET ROAD RAMSGATE SST,A649/K/93,Storm,,,1.59,1.0,73.39,Comms issue now resolved A00649
Southern Water,THE ANCHORAGE GOSPORT WPS,A1371/H/05,Storm,,,0.0,0.0,99.82,A01371
Southern Water,THE ANCHORAGE GOSPORT WPS,PP(A)38/417/H81/79B,Emergency,,,0.0,0.0,99.82,W00272
Southern Water,THE BULWARK SANDWICH WPS,A622/K/91,Storm,,,63.97,19.0,99.91,A00622
Southern Water,THE BULWARK SANDWICH WPS,A622/K/91,Emergency,,,1.7,1.0,99.91,A00622
Southern Water,THE DUVER ST HELENS WPS,A675/IOW/87,Storm,,,110.99,8.0,98.78,A00675
Southern Water,THE DUVER ST HELENS WPS,A675/IOW/87,Emergency,,,0.0,0.0,98.78,A00675
Southern Water,THE GILLIES FAREHAM CSO,A337/H/89,Storm,,,48.49,18.0,100.0,A00337
Southern Water,THE GREEN SOUTHWICK CSO,A.1005/S/99,Storm,,,1.45,4.0,47.61,"Comms issue, solution being deployed A01005"
Southern Water,THE HUNDRED ROMSEY CSO,A1446/H/05,Storm,,,0.0,0.0,0.0,"Comms issue, solution being deployed A01446"
Southern Water,THE INSTITUTE YARMOUTH WPS,A671/IOW/94,Storm,,,14.38,7.0,99.99,A00671
Southern Water,THE INSTITUTE YARMOUTH WPS,A671/IOW/94,Emergency,,,0.0,0.0,99.99,A00671
Southern Water,THE LEYS FERNHURST CSO,COPA/7085,Storm,,,119.48,24.0,100.0,A00007
Southern Water,THE PARADE COWES WPS,A637/IOW/92,Emergency,,,0.0,0.0,96.45,A00637
Southern Water,THE PARADE COWES WPS,A637/IOW/92,Storm,,,0.0,0.0,96.45,A00637
Southern Water,THE POINT BEMBRIDGE WPS,A699/IOW/96,Storm,,,19.3,10.0,100.0,A00699
Southern Water,THE POINT BEMBRIDGE WPS,A699/IOW/96,Emergency,,,5.4,2.0,100.0,A00699
Southern Water,THE PROMENADE TOTLAND PIER WPS,A670/IOW/94,Emergency,,,0.0,0.0,99.72,A00670
Southern Water,THE QUAY NEWPORT WPS,NPSWQD004720,Storm,,,6.41,11.0,99.92,NPSWQD004720
Southern Water,THE QUAY NEWPORT WPS,NPSWQD004720,Emergency,,,0.0,0.0,99.92,NPSWQD004720
Southern Water,THE STABLES NETLEY ABBEY WPS,P.1283/H/87,Emergency,,,0.0,0.0,0.0,Permit to be revoked P01283
Southern Water,THE STRAND GILLINGHAM WPS,A.142/K/87,Storm,,,24.53,16.0,92.93,D00103
Southern Water,THE STRAND GILLINGHAM WPS,A.142/K/87,Emergency,,,0.0,0.0,92.93,D00103
Southern Water,THE WARREN MAYFIELD WPS,PP(A)38/164/K37/79,Storm,,,17.41,3.0,100.0,W02514
Southern Water,THE WARREN MAYFIELD WPS,PP(A)38/164/K37/79,Emergency,,,71.33,6.0,100.0,W02514
Southern Water,THE WHARF MIDHURST WPS,A1078/S/99,Storm,,,26.73,8.0,99.97,A01078
Southern Water,THE WHARF MIDHURST WPS,62/1/800,Emergency,,,5.36,4.0,99.97,S01912
Southern Water,THORLEY ROAD BOULDNOR WPS,A222/IOW/89,Emergency,,,0.0,0.0,99.99,A00222
Southern Water,THORLEY ROAD BOULDNOR WPS,A222/IOW/89,Storm,,,11.41,9.0,99.99,A00222
Southern Water,THORNHAM WTW,62/1/1062,Storm,,,2.63,3.0,99.77,W00354
Southern Water,THORNHAM WTW,62/1/1062,Storm,,,0.0,0.0,99.77,W00354
Southern Water,THORNHAM WTW,62/1/1062,Emergency,,,0.0,0.0,99.77,W00354
Southern Water,THORNHAM WTW,62/1/1062,Settled Storm,,,634.07,46.0,99.77,W00354
Southern Water,THREE CUPS CORNER WPS,PP(A)38/122/K32/78,Storm,,,22.14,3.0,100.0,W00576
Southern Water,THREE CUPS CORNER WPS,PP(A)38/122/K32/78,Emergency,,,74.7,7.0,100.0,W00576
Southern Water,TICHBOURNE WAY GOSPORT WPS,A213/H/89,Emergency,,,0.0,0.0,98.85,A00213
Southern Water,TILSMORE WPS,A310/S/89,Storm,,,600.83,57.0,94.24,A00310
Southern Water,TILSMORE WPS,A310/S/89,Emergency,,,0.86,1.0,94.24,A00310
Southern Water,TINKERS LANE TICEHURST WPS,A1141/S/01,Storm,,,1358.61,96.0,99.88,A01141
Southern Water,TONBRIDGE WTW,COPA/5587,Storm,,,0.0,0.0,100.0,A00036
Southern Water,TONBRIDGE WTW,COPA/5587,Settled Storm,,,472.09,35.0,98.96,A00036
Southern Water,TOTTINGTON DRIVE SMALL DOLE WPS,A.1008/S/P/99,Storm,,,0.0,0.0,99.81,A01008
Southern Water,TOTTINGTON DRIVE SMALL DOLE WPS,A.1008/S/P/99,Emergency,,,0.0,0.0,99.81,A01008
Southern Water,TOVIL WHARF WPS,PC37/784/K111/83,Storm,,,0.0,0.0,99.72,A01330
Southern Water,TOVIL WHARF WPS,PC37/784/K111/83,Emergency,,,0.0,0.0,99.72,A01330
Southern Water,TOVIL WHARF WPS,PC37/784/K111/83,Emergency,,,0.0,0.0,99.72,W02038
Southern Water,TOWN FARM HAILSHAM WPS,A1267/S/05,Emergency,,,0.0,0.0,83.72,Comms issue now resolved A01267
Southern Water,TOWN FARM HAILSHAM WPS,62/1/588,Storm,,,19.55,5.0,83.72,Comms issue now resolved S01758
Southern Water,TOWN FARM HAILSHAM WPS,62/1/588 ,Emergency,,,0.58,1.0,83.72,Comms issue now resolved S01758
Southern Water,TOWN PIER GRAVESEND SWP,A115/K/87,Storm,,,38.07,23.0,83.83,Comms issue now resolved D00076
Southern Water,TOWN QUAY ARUNDEL WPS,A833/S/CH/98,Emergency,,,0.0,0.0,99.93,A00833
Southern Water,TOWN QUAY ARUNDEL WPS,A860/S/99,Storm,,,0.0,0.0,99.93,A00860
Southern Water,TOWN ROW ROTHERFIELD NO 1 CSO,24654,Storm,,,293.51,52.0,99.86,K02112
Southern Water,TOWN ROW ROTHERFIELD NO 2 CSO,RP1/61,Storm,,,116.48,22.0,84.4,Comms and monitor issues now resolved K01526
Southern Water,TUDELEY WPS,A1440/K/06,Storm,,,340.61,33.0,84.82,Monitor issue now resolved A01440
Southern Water,TUDELEY WPS,A1440/K/06,Emergency,,,0.0,0.0,84.82,Monitor issue now resolved A01440
Southern Water,TUNBRIDGE WELLS NORTH WTW,A814/K/98,Settled Storm,,,86.39,23.0,100.0,A00814
Southern Water,TUNBRIDGE WELLS SOUTH WTW,WACT/274,Storm,,,260.1,65.0,99.89,A00200
Southern Water,TUNBRIDGE WELLS SOUTH WTW,WACT/274,Settled Storm,,,1604.33,106.0,99.89,A00200
Southern Water,TURKEY ROAD BEXHILL WPS,A1190/S/03,Storm,,,13.29,6.0,99.83,A01190
Southern Water,TURKEY ROAD BEXHILL WPS,A1190/S/03,Emergency,,,0.0,0.0,99.83,A01190
Southern Water,TURNERS MEAD CHIDDINGFOLD WPS,A312/S/89,Emergency,,,12.18,3.0,99.7,A00312
Southern Water,TURNERS MEAD CHIDDINGFOLD WPS,A312/S/89,Storm,,,97.32,17.0,99.7,A00312
Southern Water,TYLER HILL WPS,A579/K/90,Emergency,,,0.0,0.0,99.92,A00579
Southern Water,UCKFIELD WTW,WACT/273,Settled Storm,,,182.7,15.0,100.0,A00534
Southern Water,ULCOMBE WTW,RP32/72,Settled Storm,,,567.09,46.0,99.22,W00508
Southern Water,UNDERHILL GOUDHURST WTW,COPA/10906,Settled Storm,,,144.39,19.0,99.09,W00134
Southern Water,UPPER DICKER WPS,PP38/57/S15,Emergency,,,16.31,2.0,99.94,W00469
Southern Water,UPPER DICKER WPS,PP38/57/S15,Storm,,,456.01,50.0,99.94,W00469
Southern Water,UPPER HORSEBRIDGE WPS,A1496/S/07,Emergency,,,0.0,0.0,99.73,A01496
Southern Water,UPPER HORSEBRIDGE WPS,62/1/112,Storm,,,0.0,0.0,99.73,S01450
Southern Water,UPPER SHAFTSBURY AVENUE SOUTHAMPTON CSO,A1295/H/05,Storm,,,1.05,1.0,92.63,A01295
Southern Water,UPPER SHOREHAM ROAD SHOREHAM CSO,A1245/S/05,Storm,,,2.1,3.0,25.22,"Comms issue, solution being deployed A01245"
Southern Water,VALE ROAD MAYFIELD CSO,A1000/S/99,Storm,,,0.0,0.0,95.27,A01000
Southern Water,VALEBRIDGE ROAD BURGESS HILL WPS,A1118/S/CH/00,Emergency,,,28.12,5.0,100.0,A01118
Southern Water,VALLEY ROAD CHANDLERS FORD CSO,A00320 ,Storm,,,1.34,6.0,100.0,A00320
Southern Water,VICARAGE ROAD STROOD WPS,A00263 ,Storm,,,0.66,1.0,100.0,A00263
Southern Water,VICARAGE ROAD STROOD WPS,A00263 ,Emergency,,,0.0,0.0,100.0,A00263
Southern Water,VICTORIA ROAD ASHFORD CSO,PC115/61/K102,Storm,,,0.0,0.0,0.0,"Comms issue, solution being deployed D01033"
Southern Water,VICTORIA ROAD BOGNOR SST,A733/S/CH/97,Storm,,,36.31,8.0,88.25,Comms issue now resolved A00733
Southern Water,VICTORIA ROAD NETLEY WPS,A1372/H/05,Storm,,,0.0,0.0,99.86,A01372
Southern Water,VICTORIA ROAD NETLEY WPS,51/179,Emergency,,,0.0,0.0,99.86,H01127
Southern Water,VILLAGE ROAD ALVERSTOKE WPS,A352/H/89,Emergency,,,2.08,1.0,99.3,A00352
Southern Water,VILLAGE ROAD ALVERSTOKE WPS,A1373/H/05,Storm,,,0.75,1.0,99.3,A01373
Southern Water,VINES CROSS ROAD HORAM CSO,A1039/S/99,Storm,,,0.0,0.0,99.99,A01039
Southern Water,VINES CROSS WTW,COPA/424,Settled Storm,,,268.64,25.0,100.0,W00013
Southern Water,WAITES LANE FAIRLIGHT CSO,RP25/61,Storm,,,38.88,18.0,99.88,K01523
Southern Water,WALDERSLADE ROAD CHATHAM OUTSIDE 149 CSO,A937/K/99,Storm,,,0.58,2.0,99.99,A00937
Southern Water,WALLINGTON HILL FAREHAM CSO,51/9,Storm,,,0.0,0.0,99.22,H01049
Southern Water,WALLSEND ROAD PEVENSEY WPS,A690/S/P/96,Emergency,,,0.0,0.0,87.93,Comms issue now resolved A00690
Southern Water,WALLSEND ROAD PEVENSEY WPS,A1073/S/99,Storm,,,0.0,0.0,87.93,Comms issue now resolved A01073
Southern Water,WANNOCK ROAD WANNOCK CSO,A1268/S/05,Storm,,,4.37,6.0,82.39,Comms issue now resolved A01268
Southern Water,WARDEN BAY WPS,A1154/K/01,Storm,,,1.45,1.0,99.97,A01154
Southern Water,WARDEN BAY WPS,A1154/K/01,Emergency,,,0.0,0.0,99.97,A01154
Southern Water,WARDS HILL ROAD MINSTER IOS WPS,A771/K/97,Storm,,,42.26,12.0,80.54,Monitor issue now resolved A00771
Southern Water,WARDS HILL ROAD MINSTER IOS WPS,A771/K/97,Emergency,,,0.0,0.0,80.54,Monitor issue now resolved A00771
Southern Water,WARNHAM WTW,A1204/S/03,Settled Storm,,,836.45,60.0,99.71,A01204
Southern Water,WARNHAM WTW,A1204/S/03,Emergency,,,0.0,0.0,99.71,A01204
Southern Water,WASHWELL LANE WADHURST WTW,RP17/60,Settled Storm,,,1070.76,60.0,90.95,W00553
Southern Water,WATER LANE LITTLEHAMPTON WPS,A862/S/99,Storm,,,0.0,0.0,30.98,Monitor issue now resolved A00862
Southern Water,WATER LANE LITTLEHAMPTON WPS,A1262/S/05,Emergency,,,5.47,2.0,30.98,Monitor issue now resolved A01262
Southern Water,WATERFRETS LANGTON GREEN WPS,RP22/72,Storm,,,19.91,9.0,93.34,K02060
Southern Water,WATERMILL LANE BEXHILL CSO,PP(A)38/441/S173/80,Storm,,,5.2,2.0,54.26,"Comms issue, solution being deployed W00433"
Southern Water,WELLOW MILL BLACKHILL WPS,A641/H/92,Storm,,,619.13,48.0,63.01,Monitor issue now resolved A00641
Southern Water,WELLOW MILL BLACKHILL WPS,A641/H/92,Emergency,,,45.76,5.0,63.01,Monitor issue now resolved A00641
Southern Water,WELLS CLOSE WHITELEY WPS,A1394/H/05,Storm,,,0.0,0.0,99.97,A01394
Southern Water,WELLS CLOSE WHITELEY WPS,A1394/H/05,Emergency,,,0.0,0.0,99.97,A01394
Southern Water,WESSEX LANE SOUTHAMPTON OUTSIDE 1 CSO,61/447,Storm,,,0.0,0.0,75.03,Comms issue now resolved H01796
Southern Water,WESSEX LANE SOUTHAMPTON OUTSIDE 11 CSO,61/446,Storm,,,1.27,1.0,100.0,H01795
Southern Water,WESSEX LANE SOUTHAMPTON OUTSIDE 15 CSO,61/446,Storm,,,0.0,0.0,47.25,Comms issue now resolved H01794
Southern Water,WEST COMMON FAWLEY WPS,A1272/H/05,Storm,,,0.0,0.0,99.9,A01272/H
Southern Water,WEST COMMON FAWLEY WPS,A1272/H/05 ,Emergency,,,0.72,1.0,99.9,A01272/H
Southern Water,WEST HOATHLY WPS,A01040/S/99,Storm,,,76.96,20.0,99.95,A01040
Southern Water,WEST HOATHLY WPS,PP(A)38/284/S151/79,Emergency,,,5.88,3.0,99.95,W00417
Southern Water,WEST HOATHLY WTW,COPA/2863,Settled Storm,,,486.0,46.0,99.96,W00020
Southern Water,WEST HYTHE K WTW,A1101/K/99,Storm,,,1613.64,140.0,99.96,A01101
Southern Water,WEST PARK BOGNOR REGIS WPS,A790/S/97,Storm,,,522.39,72.0,87.88,Comms issue now resolved. Revised calculation technique from BW20 A00790
Southern Water,WEST PARK BOGNOR REGIS WPS,A788/S/CH/97/B,Emergency,,,0.0,0.0,87.88,Comms issue now resolved. Revised calculation technique from BW20 A0788B
Southern Water,WEST WELLOW WTW,A640/H/92,Settled Storm,,,2274.62,112.0,99.59,A00640
Southern Water,WESTBERE WTW,RP45/62,Settled Storm,,,195.79,21.0,96.69,W00541
Southern Water,WESTBROOK GROVE PURBROOK WPS,A1278/H/05,Storm,,,14.07,3.0,99.99,A01278
Southern Water,WESTBROOK GROVE PURBROOK WPS,A1278/H/05,Emergency,,,8.15,1.0,99.99,A01278
Southern Water,WESTCLIFFE DRIVE MINSTER IOS WPS,A00265 ,Storm,,,2.63,4.0,49.85,Monitor issue now resolved A00265
Southern Water,WESTCLIFFE DRIVE MINSTER IOS WPS,A00265 ,Emergency,,,3.56,1.0,49.85,Monitor issue now resolved A00265
Southern Water,WESTERN ROAD HAYWARDS HEATH CSO,A1096/S/99,Storm,,,3.6,4.0,100.0,A01096
Southern Water,WESTFIELD WTW,RP25/68,Storm,,,0.35,1.0,95.36,W00504
Southern Water,WESTFIELD WTW,RP25/68,Settled Storm,,,134.91,18.0,95.35,W00504
Southern Water,WESTMINSTER MILL NEWPORT CSO,A1089/IOW/99,Storm,,,0.0,0.0,0.0,"Signal or connection issue identified, resolution to follow A01089"
Southern Water,WESTREE PLACE MAIDSTONE CSO,A.1468/K/06,Storm,,,54.75,22.0,38.07,Comms issue now resolved A01468
Southern Water,WESTWAY SPRINGHILL WPS,A229/IOW/89,Storm,,,82.62,15.0,99.86,A00229
Southern Water,WESTWAY SPRINGHILL WPS,A229/IOW/89,Emergency,,,0.0,0.0,99.86,A00229
Southern Water,WESTWOOD ROAD RYDE CSO,A1052/IOW/99,Storm,,,0.0,0.0,0.0,"Access issue, solution being deployed A01052"
Southern Water,WHITE HART LANE STOCKBRIDGE WPS,A1307/H/05,Storm,,,37.63,7.0,94.22,A01307
Southern Water,WHITE HART LANE STOCKBRIDGE WPS,A1307/H/05,Emergency,,,20.6,6.0,94.22,A01307
Southern Water,WHITEGATES COWES WPS,A817/IOW/98,Emergency,,,0.0,0.0,100.0,A00817
Southern Water,WHITEGATES COWES WPS,COPA/9091,Storm,,,75.68,39.0,100.0,A02504
Southern Water,WHITEGATES LANE WADHURST WTW,COPA/3344,Storm,,,95.5,24.0,100.0,W00033
Southern Water,WHITELEY LANE WHITELEY WPS,A1127/H/01,Storm,,,0.0,0.0,99.99,A01127
Southern Water,WHITELEY LANE WHITELEY WPS,A1127/H/01,Emergency,,,0.0,0.0,99.99,A01127
Southern Water,WHITEPARISH WTW,51/161,Settled Storm,,,56.85,9.0,58.0,Monitor issue now resolved W00238
Southern Water,WHITEWALL CREEK WTW,RP26/72,Settled Storm,,,15.72,3.0,99.93,W00510
